345,574|356,568|403,567|483,559|516,560|574,561|612,576|644,590|669,590|678,590|678,590|678,590|678,590|653,587|614,586|550,586|504,588|437,592|377,590|327,591|
263,596|225,601|206,617|196,617|198,587|195,557|200,522|213,480|207,443|205,399|215,361|228,327|216,325|202,335|190,338|201,336|223,322|238,319|254,319|288,310|
309,302|346,301|375,296|395,293|445,291|499,293|514,292|521,292|515,292|499,292|487,292|454,290|425,290|392,288|353,288|311,287|274,286|257,284|256,282|256,282|
232,295|211,316|196,342|187,363|170,406|145,483|125,539|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|166,677|173,639|173,607|194,575|206,549|220,508|227,479|227,477|224,454|217,409|213,390|204,357|
203,357|202,358|202,358|210,357|242,346|275,343|288,339|320,330|351,326|384,319|414,313|463,298|494,292|537,286|581,278|643,259|693,258|753,252|859,254|919,269|
976,291|1005,298|1025,299|1029,298|1029,298|1017,301|1000,299|986,299|986,299|966,295|948,301|936,309|919,315|884,321|844,302|791,270|759,251|707,251|666,244|614,246|
556,240|507,252|471,254|423,253|371,268|339,265|287,265|236,280|193,281|159,281|133,284|133,284|135,283|136,285|148,281|175,270|237,256|288,253|358,239|397,234|
404,228|403,231|403,239|395,263|391,275|388,292|388,314|392,345|393,359|402,374|411,394|427,399|427,399|416,400|414,400|403,403|388,403|360,405|324,414|299,414|
276,414|251,420|225,425|211,426|202,431|194,439|187,445|193,437|204,431|235,410|249,397|269,390|289,387|291,387|291,388|295,388|296,388|304,389|304,389|303,388|
304,389|
