566,266|566,266|566,266|547,265|527,262|475,248|475,248|456,242|422,223|408,216|373,205|344,199|305,187|284,160|284,160|284,160|284,160|284,160|284,160|264,188|
264,188|250,223|233,269|229,278|225,296|211,324|211,363|211,363|211,425|211,425|211,425|211,425|198,461|187,493|172,511|171,514|165,568|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|230,662|
230,662|238,621|238,621|248,587|253,575|257,548|258,534|294,513|294,513|291,489|295,440|300,404|300,382|300,360|301,341|311,292|317,248|340,189|341,185|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|371,76|371,76|371,76|371,76|359,130|353,142|350,177|350,180|350,215|350,215|348,262|348,262|
348,262|348,262|340,298|331,347|322,386|322,386|322,386|322,386|336,384|352,382|379,377|395,352|408,349|436,351|470,351|498,340|553,345|628,338|682,336|770,336|
863,348|912,356|970,366|970,366|970,366|970,366|970,366|970,366|970,366|990,377|997,382|997,382|1006,391|940,396|940,396|940,396|940,396|940,396|940,396|940,396|
940,396|940,396|940,396|940,396|915,395|915,395|899,392|868,385|838,374|838,374|817,374|786,370|769,365|755,365|746,364|709,367|670,368|670,368|647,364|627,364|
596,365|596,365|579,365|562,365|544,370|504,365|466,380|448,391|417,402|363,412|323,419|271,409|254,400|219,398|210,446|210,446|196,477|196,477|196,504|196,504|
215,512|215,512|238,514|238,514|292,524|320,527|338,537|365,540|365,540|365,540|371,492|371,492|371,492|371,492|371,492|381,479|412,440|412,440|420,407|429,398|
444,387|457,382|483,367|501,360|511,328|524,291|529,272|542,231|540,231|525,230|525,230|504,230|468,228|448,228|427,232|411,237|397,238|381,239|327,251|298,251|
272,251|252,256|238,262|227,285|223,300|217,314|215,321|215,326|215,355|215,355|215,355|209,372|206,386|204,404|197,420|194,441|194,441|190,467|187,493|177,540|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|160,641|
177,623|194,587|194,587|208,544|223,524|223,524|245,496|245,496|245,496|264,469|264,469|270,395|270,395|270,395|286,386|286,386|306,359|306,359|306,359|306,359|
290,358|281,357|269,355|256,352|252,352|238,352|221,352|193,363|177,363|156,373|137,382|111,383|91,395|60,422|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|60,423|88,414|88,414|99,407|
107,404|126,394|135,394|146,393|172,391|187,391|193,391|195,391|209,390|221,388|238,382|253,380|282,374|306,359|324,353|349,348|373,346|389,346|401,346|421,349|
440,345|466,345|500,351|538,359|559,363|588,366|620,370|606,364|606,364|606,364|593,357|568,350|545,347|529,346|513,339|503,334|490,331|476,331|457,328|439,328|
418,328|386,329|364,331|351,332|325,329|293,363|293,363|293,364|294,358|294,347|294,329|295,311|297,291|298,263|305,232|-1,-1|322,167|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|329,78|
322,112|322,112|319,160|319,160|314,169|312,191|312,191|307,225|306,231|306,234|293,241|284,257|284,257|281,281|281,281|276,304|270,319|263,346|263,346|256,362|
255,389|255,389|255,413|255,413|255,413|257,436|257,455|251,474|251,483|240,506|240,535|240,535|240,537|238,551|232,580|227,607|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|-1,-1|
-1,-1|-1,-1|220,677|224,663|228,642|237,625|251,611|251,611|251,611|260,575|260,575|279,539|282,522|290,488|290,488|298,478|301,459|308,427|308,395|313,355|
313,339|318,308|317,297|317,297|314,303|310,308|305,340|305,346|305,347|306,388|306,388|306,388|306,388|306,388|306,388|306,388|306,388|306,388|306,388|306,388|
306,388|
